# SilverLens 한국어 사투리 어휘 사전 (원본)
# 형식: 사투리,표준어,지역,분류
# 지역: 경상 / 전라 / 충청 / 강원 / 제주 / 전국
# 분류: 식재료 / 음식 / 신체증상 / 생활
# 규칙
#   1) 사투리 표기는 2글자 이상만 등록한다. 1글자 항목은 오탐이 심해 제외한다.
#   2) 사투리와 표준어가 같은 항목(가다=가다)은 등록하지 않는다.
#   3) 뜻이 불확실한 항목은 등록하지 않는다. 정확도가 항목 수보다 중요하다.

# ── 식재료 ──────────────────────────────────────────────
정구지,부추,경상,식재료
소풀,부추,경상,식재료
분추,부추,강원,식재료
무시,무,경상,식재료
무수,무,전라,식재료
배차,배추,경상,식재료
배채,배추,전라,식재료
부루,상추,경상,식재료
상치,상추,전국,식재료
지슬,감자,제주,식재료
지실,감자,전라,식재료
하지감자,감자,경상,식재료
북감자,감자,강원,식재료
감저,고구마,제주,식재료
고매,고구마,전라,식재료
물외,오이,경상,식재료
물꾸,오이,전라,식재료
호박새이,애호박,경상,식재료
마널,마늘,전라,식재료
마눌,마늘,경상,식재료
새앙,생강,전국,식재료
고치,고추,경상,식재료
꼬추,고추,전라,식재료
깨잎,깻잎,전국,식재료
남새,채소,전라,식재료
나새이,냉이,경상,식재료
나상구,냉이,전라,식재료
꼬장,고추장,경상,식재료
딘장,된장,경상,식재료
지렁,간장,경상,식재료
장물,간장,전라,식재료
참지름,참기름,전국,식재료
들지름,들기름,전국,식재료
지름,기름,전국,식재료
진가루,밀가루,경상,식재료
사탕,설탕,경상,식재료
소캐,소금,강원,식재료
콩지름,콩나물,전라,식재료
콩질금,콩나물,경상,식재료
강냉이,옥수수,강원,식재료
수꾸,옥수수,경상,식재료
딸구,딸기,경상,식재료
복숭,복숭아,경상,식재료
복상,복숭아,전라,식재료
풍개,자두,경상,식재료
호도,호두,전국,식재료
일년감,토마토,전국,식재료
땅감,토마토,전라,식재료
왜콩,땅콩,전라,식재료
푸성귀,잎채소,전국,식재료
시금추,시금치,경상,식재료
파뿌리,대파 뿌리,전국,식재료
쪽파,실파,전국,식재료
양파때기,양파,전국,식재료
서양배추,양배추,전국,식재료
고수나물,고수,전국,식재료
도라지꼬장,도라지,강원,식재료
